comparison,param_value,algorithm,metric,mean
processors,32,GA,reliability,0.8174306157797431
processors,32,GA,load_balance,42.61338915975326
processors,64,HEFT,makespan,417.316575
processors,64,HEFT,energy,1411212.9846435538
processors,64,HEFT,cost,0.05718583055555555
processors,64,HEFT,reliability,0.720891475367996
processors,64,HEFT,load_balance,64.99425381486573
processors,64,GA,makespan,438.979425
processors,64,GA,energy,1430070.8364245824
processors,64,GA,cost,0.08529789236111113
processors,64,GA,reliability,0.7114314244734622
processors,64,GA,load_balance,31.50839240276671
CCR,0.1,HEFT,makespan,475.68523999999996
CCR,0.1,HEFT,energy,615888.0006986357
CCR,0.1,HEFT,cost,0.05814186666666667
CCR,0.1,HEFT,reliability,0.8474089543954592
CCR,0.1,HEFT,load_balance,79.09046647890874
CCR,0.1,GA,makespan,475.86552
CCR,0.1,GA,energy,613285.2113715222
CCR,0.1,GA,cost,0.08035127666666668
CCR,0.1,GA,reliability,0.8444971500493966
CCR,0.1,GA,load_balance,48.975457925691494
CCR,0.5,HEFT,makespan,480.63867999999997
CCR,0.5,HEFT,energy,609285.7017675022
CCR,0.5,HEFT,cost,0.058363166666666674
CCR,0.5,HEFT,reliability,0.8476348028355871
CCR,0.5,HEFT,load_balance,81.5051501879026
CCR,0.5,GA,makespan,477.80672
CCR,0.5,GA,energy,606615.6363137867
CCR,0.5,GA,cost,0.07775909111111112
CCR,0.5,GA,reliability,0.8447575494033162
CCR,0.5,GA,load_balance,49.38279078740788
CCR,0.8,HEFT,makespan,487.45124
CCR,0.8,HEFT,energy,639493.2728838439
CCR,0.8,HEFT,cost,0.05924577777777778
CCR,0.8,HEFT,reliability,0.8431427454501492
CCR,0.8,HEFT,load_balance,79.3843651059868
CCR,0.8,GA,makespan,485.843
CCR,0.8,GA,energy,641036.1911332051
CCR,0.8,GA,cost,0.07883948333333334
CCR,0.8,GA,reliability,0.8398296726682851
CCR,0.8,GA,load_balance,51.03134658859921
CCR,1.0,HEFT,makespan,471.06864
CCR,1.0,HEFT,energy,613177.4624182103
CCR,1.0,HEFT,cost,0.05797728666666667
CCR,1.0,HEFT,reliability,0.8476196052217981
CCR,1.0,HEFT,load_balance,79.99316723573483
CCR,1.0,GA,makespan,473.5434
CCR,1.0,GA,energy,612182.3234854457
CCR,1.0,GA,cost,0.07910024555555556
CCR,1.0,GA,reliability,0.8444531827456819
CCR,1.0,GA,load_balance,50.33393912901947
CCR,2.0,HEFT,makespan,482.394
CCR,2.0,HEFT,energy,620552.7172761048
CCR,2.0,HEFT,cost,0.05879469777777778
CCR,2.0,HEFT,reliability,0.8461904874917292
CCR,2.0,HEFT,load_balance,80.86901857943789
CCR,2.0,GA,makespan,482.58820000000003
CCR,2.0,GA,energy,621043.2217400521
CCR,2.0,GA,cost,0.07834246
CCR,2.0,GA,reliability,0.8429127143552699
CCR,2.0,GA,load_balance,51.096476975149706
CCR,5.0,HEFT,makespan,477.30848
CCR,5.0,HEFT,energy,618587.9527768184
CCR,5.0,HEFT,cost,0.05855173777777778
CCR,5.0,HEFT,reliability,0.8465459861710455
CCR,5.0,HEFT,load_balance,79.01791814946644
CCR,5.0,GA,makespan,476.49952
CCR,5.0,GA,energy,618279.8493414244
CCR,5.0,GA,cost,0.07886566888888889
CCR,5.0,GA,reliability,0.8433689247646723
CCR,5.0,GA,load_balance,48.484184436882934
CCR,8.0,HEFT,makespan,474.77479999999997
CCR,8.0,HEFT,energy,607926.535891445
CCR,8.0,HEFT,cost,0.058566335555555564
CCR,8.0,HEFT,reliability,0.8481070614245333
CCR,8.0,HEFT,load_balance,79.96267079707918
CCR,8.0,GA,makespan,476.76328
CCR,8.0,GA,energy,605084.8153847428
CCR,8.0,GA,cost,0.07914828888888889
CCR,8.0,GA,reliability,0.8452486800099528
CCR,8.0,GA,load_balance,50.65758375410402
CCR,10.0,HEFT,makespan,472.55888
CCR,10.0,HEFT,energy,606560.6995801303
CCR,10.0,HEFT,cost,0.05839974555555556
CCR,10.0,HEFT,reliability,0.8484155787091333
CCR,10.0,HEFT,load_balance,78.3653571018608
CCR,10.0,GA,makespan,471.10868
CCR,10.0,GA,energy,605644.2564576474
CCR,10.0,GA,cost,0.07859407444444444
CCR,10.0,GA,reliability,0.8454653344672078
CCR,10.0,GA,load_balance,51.067656360391815
