algorithm,makespan,energy,cost,reliability,load_balance,bentuk_dag
HEFT,165.45,51099.60108794198,0.0064366666666666,0.984477337959792,75.42386028306956,dag_0_n10_ccr0.1_p4_shape0.5
GA,165.45,48712.4037473557,0.0062977777777777,0.984477337959792,66.12275982342742,dag_0_n10_ccr0.1_p4_shape0.5
HEFT,700.3700000000001,247131.931279181,0.0579319444444444,0.9078936797709568,68.82921151904429,dag_1000_n60_ccr0.1_p4_shape0.5
GA,626.7400000000001,243459.8563519163,0.0589619444444444,0.9105715497322244,39.43347256244791,dag_1000_n60_ccr0.1_p4_shape0.5
HEFT,619.23,221658.1902201121,0.0553652777777777,0.9170394380154852,52.40372911348965,dag_1001_n60_ccr0.1_p4_shape0.8
GA,572.6800000000001,219095.0568380247,0.0555933333333333,0.918748556144249,21.17257404442521,dag_1001_n60_ccr0.1_p4_shape0.8
HEFT,729.89,252924.3712340216,0.0681755555555555,0.905122305694122,37.49850930370433,dag_1002_n60_ccr0.1_p4_shape1
GA,612.7399999999999,252634.6213728499,0.0565361111111111,0.90937366196687,83.106978046371,dag_1002_n60_ccr0.1_p4_shape1
HEFT,761.7099999999999,261328.7373934962,0.0696119444444444,0.902124447529527,51.94309386241826,dag_1003_n60_ccr0.1_p4_shape2
GA,645.89,257981.39373577543,0.0628327777777777,0.906313505711996,57.32834493802637,dag_1003_n60_ccr0.1_p4_shape2
HEFT,868.8000000000001,280337.90005755064,0.0708861111111111,0.8951732536000209,89.03419769017597,dag_1004_n60_ccr0.1_p4_shape4
GA,817.95,275989.037630662,0.0730147222222222,0.8969958889896573,75.71965327222959,dag_1004_n60_ccr0.1_p4_shape4
HEFT,470.53,284029.96869487595,0.0657113888888888,0.8954762314900068,72.98629517881128,dag_1005_n60_ccr0.1_p8_shape0.5
GA,482.39,290991.4197019009,0.0811105555555555,0.8946270065775751,92.07897851262562,dag_1005_n60_ccr0.1_p8_shape0.5
HEFT,644.0899999999999,350170.5745159837,0.0631847222222222,0.8855336689078863,174.3486165089113,dag_1006_n60_ccr0.1_p8_shape0.8
GA,700.5799999999999,337950.17117245705,0.1175994444444444,0.8815407942465363,54.95206112084033,dag_1006_n60_ccr0.1_p8_shape0.8
HEFT,580.8100000000001,333800.8955079975,0.0755097222222222,0.8844242594236957,138.32115249871018,dag_1007_n60_ccr0.1_p8_shape1
GA,617.1500000000001,325467.39110426966,0.0995680555555555,0.8818567950911631,65.10074171181593,dag_1007_n60_ccr0.1_p8_shape1
HEFT,575.0,323413.7749217391,0.0665813888888888,0.886883541594414,124.6913736276205,dag_1008_n60_ccr0.1_p8_shape2
GA,607.59,317544.9245708455,0.09751,0.8845742704986735,59.05825163103194,dag_1008_n60_ccr0.1_p8_shape2
HEFT,422.91,265600.11359390884,0.0575336111111111,0.9039026612462056,88.6643493744808,dag_1009_n60_ccr0.1_p8_shape4
GA,463.91,267704.0195296501,0.0783244444444444,0.9009427174787844,63.52430867673527,dag_1009_n60_ccr0.1_p8_shape4
HEFT,321.22,96904.92114438704,0.0105363888888888,0.9723677523863844,151.5963850437514,dag_100_n10_ccr2_p4_shape0.5
GA,324.22,83941.43418049472,0.0105363888888888,0.9722510752568656,93.00301442247272,dag_100_n10_ccr2_p4_shape0.5
HEFT,527.42,521988.0437981116,0.0709402777777777,0.8509407302619377,140.4608845432303,dag_1010_n60_ccr0.1_p16_shape0.5
GA,567.4200000000001,502533.8227062847,0.1563175,0.8455120997356582,54.15913434807959,dag_1010_n60_ccr0.1_p16_shape0.5
HEFT,438.39000000000016,428916.8972604303,0.0624205555555555,0.8711039183536285,104.24489239086653,dag_1011_n60_ccr0.1_p16_shape0.8
GA,455.99000000000007,413058.9033312135,0.1005788888888889,0.8686543403441154,51.80396847330651,dag_1011_n60_ccr0.1_p16_shape0.8
HEFT,458.77,444868.0781219348,0.0650363888888889,0.864517267573375,101.20727967888476,dag_1012_n60_ccr0.1_p16_shape1
GA,484.27,445947.3945526256,0.1127611111111111,0.8609972228958225,72.99849655986074,dag_1012_n60_ccr0.1_p16_shape1
HEFT,518.15,500008.4499469267,0.0704030555555555,0.8523319630884737,118.913689287651,dag_1013_n60_ccr0.1_p16_shape2
GA,467.73,435818.3835118551,0.1080516666666666,0.859235704993359,61.87680292322802,dag_1013_n60_ccr0.1_p16_shape2
HEFT,394.87,390334.5752019652,0.0605141666666666,0.8760069975560215,84.40716369430184,dag_1014_n60_ccr0.1_p16_shape4
GA,423.11,390751.5914301246,0.1030311111111111,0.8720577763377598,47.65530333813855,dag_1014_n60_ccr0.1_p16_shape4
HEFT,551.6800000000001,947772.2898781904,0.0631680555555555,0.7811025747956369,91.92405155581147,dag_1015_n60_ccr0.1_p32_shape0.5
GA,540.18,894359.9871524306,0.1059391666666666,0.7839823277664546,45.90903301639014,dag_1015_n60_ccr0.1_p32_shape0.5
HEFT,403.7099999999999,731841.4393252581,0.0618616666666666,0.8152409216814825,87.38091677264678,dag_1016_n60_ccr0.1_p32_shape0.8
GA,420.7099999999999,713470.2912457511,0.0919436111111111,0.8108180521799598,43.83977818730492,dag_1016_n60_ccr0.1_p32_shape0.8
HEFT,635.6,1117277.7898678414,0.0757316666666666,0.755393253328964,129.6948542702969,dag_1017_n60_ccr0.1_p32_shape1
GA,687.3000000000001,1131510.969853048,0.1453697222222222,0.7429988366593435,57.52917782841072,dag_1017_n60_ccr0.1_p32_shape1
HEFT,433.5399999999999,771346.8099367992,0.0591619444444444,0.8125027338869233,88.72910861563867,dag_1018_n60_ccr0.1_p32_shape2
